dis.Date,rep,row,line,treatment,genotype,pot,visible.leaves,ligulated.leaves,SAM_nscore,ratio
20/02/2024,2,1,3,nightbreak,BA90,1491,7.2,5,3,2.306569343
20/02/2024,2,3,4,nightbreak,CML277,1504,6.5,3,1,0.834951456
20/02/2024,1,4,1,control,Tzi9,1561,6.5,4,3,2.178217822
20/02/2024,2,4,3,control,LH123Ht,1563,6.2,3,2,0.838983051
20/02/2024,1,8,4,control,Tzi9,1804,6.2,4,3,2.239583333
23/02/2024,4,1,7,nightbreak,CML341,1495,6.5,4,2,0.991071429
24/02/2024,4,3,8,nightbreak,Tzi8,1508,7.5,5,1,1.017857143
23/02/2024,4,2,8,control,Tzi8,1448,6.5,4,2,1.236842105
26/02/2024,4,1,8,nightbreak,CML277,1496,6.5,3,2,0.947916667
23/02/2024,3,5,5,nightbreak,CML341,1625,8,5,2,0.903846154
23/02/2024,4,2,7,control,CML341,1447,8.2,5,3,1.432258065
23/02/2024,3,1,5,nightbreak,CML277,1493,6.2,3,1,0.786885246
24/02/2024,3,4,6,control,CML341,1566,8.5,5,3,3.017142857
24/02/2024,3,2,5,control,Tzi8,1445,7,4,3,1.752808989
23/02/2024,3,1,6,nightbreak,B73,1494,8,4,2,1.257352941
24/02/2024,3,3,6,nightbreak,CML373,1506,6.5,4,1,0.516129032
23/02/2024,3,5,6,nightbreak,Tzi8,1626,7,4,1,0.952380952
23/02/2024,4,5,8,nightbreak,2369,1628,7.8,5,1,1.335664336
24/02/2024,4,6,8,control,CML373,1688,6.5,4,2,0.830769231
23/02/2024,4,10,8,control,LH123Ht,1736,6.8,4,NA,NA
26/02/2024,3,7,6,nightbreak,CML258,1746,7,5,2,1.225
26/02/2024,4,8,8,control,CML258,1808,6,5,2,1.239130435
23/02/2024,3,9,6,nightbreak,BA90,1866,7.5,5,4,2.31294964
26/02/2024,4,9,7,nightbreak,CML258,1867,6,5,1,1.045454545
24/02/2024,4,9,8,nightbreak,LH123Ht,1868,6.8,4,2,1.042016807
23/02/2024,3,3,5,nightbreak,LH123Ht,1505,7,4,2,1.333333333
23/02/2024,3,4,5,control,CML373,1565,6.5,4,1,0.895522388
23/02/2024,4,4,7,control,BA90,1567,8.2,5,6,4.041420118
23/02/2024,3,6,5,control,LH123Ht,1685,6.5,4,1,0.946428571
23/02/2024,3,10,6,control,2369,1734,7.5,4,2,0.482758621
26/02/2024,4,10,7,control,CML277,1735,6.5,4,2,1.804347826
23/02/2024,3,7,5,nightbreak,2369,1745,8,5,2,1.058823529
24/02/2024,3,8,5,control,B73,1805,8.5,5,3,2.709677419
23/02/2024,4,3,7,nightbreak,B73,1507,8.5,5,2,1.702290076
23/02/2024,4,7,7,nightbreak,BA90,1747,8.2,5,4,2.553571429
23/02/2024,4,8,7,control,2369,1807,8,5,1,0.992592593
23/02/2024,4,4,8,control,Tzi9,1568,7.5,4,5,2.995098039
26/02/2024,3,6,6,control,CML258,1686,7.8,5,2,1.4
23/02/2024,3,10,5,control,Tzi9,1733,7.2,4,4,2.731481481
24/02/2024,3,8,6,control,CML277,1806,7,4,2,1.424657534
23/02/2024,3,2,6,control,BA90,1446,8.2,5,6,4.628712871
24/02/2024,4,6,7,control,B73,1687,8.8,5,3,2.946280992
23/02/2024,4,7,8,nightbreak,Tzi9,1748,6,4,2,1.211864407
23/02/2024,3,9,5,nightbreak,Tzi9,1865,7.2,4,2,0.838461538
28/02/2024,5,1,9,nightbreak,Tzi8,1497,7.5,5,1,0.779411765
28/02/2024,6,4,11,control,CML373,1571,7.2,4,1,0.766666667
27/02/2024,5,1,10,nightbreak,CML373,1498,6.5,4,1,0.772727273
27/02/2024,6,1,11,nightbreak,CML341,1499,8.2,5,1,1
27/02/2024,6,6,11,control,CML258,1691,8.5,6,1,1.132075472
26/02/2024,6,3,11,nightbreak,CML373,1511,7.8,5,1,0.723404255
27/02/2024,6,10,12,control,Tzi8,1740,7.5,5,4,2.716814159
27/02/2024,5,2,10,control,CML373,1450,7.5,5,1,1.131147541
26/02/2024,6,2,12,control,CML341,1452,7.8,5,2,1.18852459
26/02/2024,6,1,12,nightbreak,Tzi9,1500,7.5,4,3,1.944785276
